artist_name,num_songs,tempo,loudness,energy
Anna Calvi,1,113.433,-10.989,0.309
Anna Karina,1,119.397,-4.185,0.803
Anna Maria Jopek,1,150.0,-10.873,0.394
Anna Nalick,3,159.946,-7.395333333333333,0.4983333333333333
Anna Ternheim,21,122.44361904761904,-9.728238095238096,0.39884285714285717
Anna von Hausswolff,1,139.172,-17.857,0.137
Anne Clark,1,129.933,-11.651,0.877
Anne Hathaway,1,54.978,-17.357,0.0753
Anne Murray,1,124.323,-5.754,0.448
Annett Louisan,8,114.84337500000001,-10.70375,0.43262500000000004
Annie,8,110.346625,-5.7677499999999995,0.764
Annie Lennox,3,109.68266666666666,-12.078000000000001,0.3873333333333333
Annihilator,4,137.34375,-7.1049999999999995,0.93425
Annotations of an Autopsy,16,117.9965625,-6.707,0.81275
Anoice,4,85.9985,-10.961,0.37275
Anoraak,5,122.9964,-9.9596,0.6544000000000001
Anorexia Nervosa,3,100.527,-5.620333333333334,0.9143333333333333
Another Level,1,79.726,-7.051,0.477
Anouar Brahem,3,89.48599999999999,-23.145666666666667,0.048633333333333334
Anouk,2,110.04249999999999,-9.865,0.572
Anoushka Shankar,3,126.029,-11.932333333333332,0.502
Anterior,1,98.02,-4.786,0.987
Anthony B,2,146.71749999999997,-5.013999999999999,0.772
Anthony Hamilton,2,121.3945,-8.415,0.33399999999999996
Anthrax,42,124.87907142857144,-7.117047619047619,0.9336666666666666
Anti-Flag,15,132.49373333333332,-5.4458,0.9353333333333332
Antibalas Afrobeat Orchestra,3,114.21033333333332,-9.490666666666668,0.827
Antiloop,2,139.54899999999998,-6.9185,0.981
Antimatter,14,117.78857142857143,-11.818071428571429,0.3766285714285714
Antonio Vivaldi,3,120.47266666666667,-21.5,0.1917
Antony Parviainen,1,200.048,-4.821,0.72
Antony and the Johnsons,18,107.9398888888889,-13.993055555555555,0.20967444444444444
Antony with Bryce Dessner,1,86.009,-15.461,0.179
Antonín Dvořák,3,81.09033333333333,-16.249333333333336,0.13520000000000001
Antsy Pants,1,101.282,-11.717,0.523
Antti Tuisku,1,129.996,-5.582,0.898
Antônio Carlos Jobim,8,116.681375,-15.3475,0.368625
Anya Marina,1,118.017,-10.163,0.426
Anúna,3,100.72466666666666,-18.083333333333332,0.159
Apache Indian,1,134.018,-8.672,0.679
Apartment,1,99.022,-4.704,0.922
Aphex Twin,64,132.41385937500002,-13.680546875,0.5899546875
Aphrodite,1,173.548,-7.269,0.867
Aphrodite's Child,2,99.2405,-11.4655,0.6705
Apocalypse Orchestra,1,153.061,-7.168,0.712
Apocalyptica,45,119.37257777777776,-8.266777777777778,0.6429111111111111
Apollo 440,7,123.79685714285714,-8.775857142857143,0.7297142857142856
Apoptygma Berzerk,15,121.8322,-9.128733333333333,0.7539533333333334
Apostle of Hustle,2,136.2425,-6.3285,0.802
Apparat,4,109.345,-12.135,0.45625000000000004
April March,2,116.9945,-8.045,0.398
April Stevens,1,116.628,-18.625,0.122
April Wine,1,83.546,-15.021,0.308
Aqua,7,131.57271428571428,-5.489428571428571,0.9087142857142857
Aqualung,8,128.883375,-11.23425,0.377125
Aquasky,1,160.131,-7.72,0.704
Aqueduct,1,120.671,-6.975,0.882
Arab Strap,2,144.1895,-13.249500000000001,0.505
Arab on Radar,4,154.38549999999998,-6.46725,0.915
Arca,8,106.371375,-13.308375,0.478375
Arcade Fire,27,121.94474074074073,-7.27362962962963,0.7437037037037036
Arcadia,1,110.791,-14.746,0.552
Arcana,14,115.40935714285715,-12.321285714285713,0.4538357142857143
Arcangelo Corelli,3,85.82466666666666,-21.893333333333334,0.07766666666666668
Arch Enemy,62,127.00901612903226,-5.1795,0.9275
Archers of Loaf,2,119.203,-9.464,0.5435
