artist_name,total_artist_plays,artist_song_count
Cam,7,1
Cam'ron,6704,3
Camel,1794,2
Camera Obscura,25319,13
Camila Cabello,921,3
Camille,4242,14
Camille Saint-Saëns,40,2
Camo & Krooked,2621,5
Camper Van Beethoven,325,1
Camélia Jordana,864,2
Can,181,5
Cancer Bats,3365,2
Candlebox,246,1
Candlemass,512,10
Cannibal Corpse,5185,44
Cannibal Ox,72,2
Cannonball Adderley,948,2
Cansei de Ser Sexy,11123,12
Cantoma,1716,3
Cap'n Jazz,818,10
Caparezza,76,1
Capdown,139,2
Capercaillie,2,1
Capleton,45,1
Captain Beefheart & His Magic Band,4443,13
Captain Hollywood Project,14,1
Carach Angren,39,3
Caravan Palace,113,3
Carbon Based Lifeforms,1005,5
Carcass,1422,8
Cardi B,2,1
Caribou,37991,30
Carl Craig,104,1
Carl Orff,305,2
Carl Perkins,70,1
Carla Bruni,23,1
Carlos Varela,2016,1
Carlos Vives,605,1
Carly Rae Jepsen,12,1
Carly Simon,3012,2
Carmen Maria Vega,6,1
Carnifex,2107,22
Caro Emerald,97,2
Carole King,186,3
Carolina Liar,10077,1
Caroline Polachek,4,1
Carpathian,155,1
Carpathian Forest,552,11
Carpenter Brut,1,1
Carpenters,20,1
Carrie Underwood,236,5
Cartel,632,3
Carter Burwell,1074,1
Cartola,2102,1
Cary Brothers,651,3
Cascada,539,3
Case,7,1
Cash Cash,2031,2
Casiotone for the Painfully Alone,811,2
Caspa,265,2
Casper,559,1
Caspian,3098,9
Cass McCombs,1,1
Cassandra Wilson,12,1
Cassidy,427,1
Cassie,1,1
Cassius,1432,1
Cat Power,37986,45
Cat's Eyes,32,1
Catamenia,176,6
Catatonia,653,3
Catch 22,980,3
Cathedral,116,3
Cattle Decapitation,1030,21
Cavalera Conspiracy,1056,5
Cave In,1,1
Cazuza,3223,1
Celia Cruz,178,1
Cell,32,1
Celldweller,9588,5
Celtic Frost,950,16
Celtic Spirit,1189,5
Celtic Woman,10673,12
Ceo,790,1
Cephalic Carnage,633,9
Cepia,193,1
Cesária Évora,4067,6
Chad VanGaalen,1132,6
Chairlift,431,3
Chairmen Of The Board,556,1
Chaka Demus & Pliers,3241,2
Chambao,1119,3
Champaign,207,1
Champion,15,1
Chance the Rapper,64,1
Chapeau Claque,360,1
Chapterhouse,459,1
Charles Aznavour,39,1
Charles Bradley,26,1
Charles Brown,9,1
Charles Manson,3,1
Charles Mingus,78,2
Charley Patton,38,1
Charli XCX,307,4
Charlie Brown JR.,2530,3
Charlie Daniels Band,135,2
Charlie Feathers,380,1
Charlie Parker,7,1
Charlie Winston,380,1
Charlotte Church,424,3
Charlotte Gainsbourg,13633,23
Charly García,144,1
Charon,86,1
Chase & Status,2141,5
Chastity Belt,100,1
Chateau Marmont,170,2
Chavela Vargas,26,1
Che Sudaka,27,1
Cheap Trick,12,1
Chelsea Grin,5259,9
Chelsea Wolfe,320,7
Cher,2572,3
Cherish,10132,2
Cherry Ghost,290,1
Cherry Poppin' Daddies,213,1
Cheryl,70,1
Cheryl Lynn,554,1
Chet Baker,739,3
Chet Faker,10,1
Chevelle,32253,13
Chew Lips,79,3
Chezidek,60,1
Chic,6682,2
Chicago,285,4
Chicane,2506,6
Chicken Shack,333,1
Chickenfoot,766,1
Chicks On Speed,45,1
Chico Buarque,636,3
Chico Science & Nação Zumbi,60,1
Chiddy Bang,2,1
Childish Gambino,1719,4
Children of Bodom,13915,26
Chimaira,1176,13
Chinawoman,6,1
Chinese Man,1804,1
Chingy,599,1
Chiodos,718,3
Chlöe Howl,9,2
Choir of Young Believers,1194,2
Choking Victim,3522,9
Cholera,20,1
Chris Brown,1150,6
Chris Cagle,11726,7
Chris Clark,5,1
Chris Cornell,11787,14
Chris Isaak,486,1
Chris Joss,63,1
Chris Rea,679,1
Chris Thomas King,1382,1
Chris Tomlin,547,1
Chris Vrenna,307,4
Chris Young,4318,1
Chris de Burgh,22,1
Chrisette Michele,1244,2
Christian Bruhn,17,1
Christina Aguilera,6344,19
Christina Milian,1848,2
Christina Perri,172,1
Christina Stürmer,283,3
Christophe Maé,1026,1
Christopher O'Riley,223,1
Chromatics,3199,9
Chrome Sparks,23,1
Chromeo,47080,12
Chuck Berry,1467,7
Chuck Ragan,1561,1
Ciara,840,3
Cibo Matto,88,1
Ciccone Youth,360,8
Cinderella,5040,2
Cinema Bizarre,1388,3
Circa Survive,1101,3
Circle Jerks,94,1
Circle Takes the Square,517,5
Circus Maximus,769,3
Cirez D,24,1
Cirque Du Soleil,35,1
Cirrus,111,1
Citizen Cope,16114,4
City and Colour,10626,6
Civil Twilight,8463,1
Claire Laffut,102,1
Clairo,120,1
Clan of Xymox,871,12
Clannad,11364,21
Clap Your Hands Say Yeah,1473,3
"Clarence ""Frogman"" Henry",1,1
Clark,12,1
Claude Debussy,811,2
Claude VonStroke,32,1
Claude-Michel Schönberg,14,1
Clawfinger,2273,4
Clay Walker,10,1
Clear View,47,1
